,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region,Latitude,Longitude,City,State
41,Woke,65,4.48,Angry Chair Brewing,English Sweet / Milk Stout,10.00%,south-atlantic,28.0051338,-82.4592887,Tampa,FL
42,Imperial German Chocolate Cupcake Stout,217,4.55,Angry Chair Brewing,American Imperial Stout,11.50%,south-atlantic,28.0051338,-82.4592887,Tampa,FL
43,German Chocolate Cupcake Stout,243,4.38,Angry Chair Brewing,English Sweet / Milk Stout,7.00%,south-atlantic,28.0051338,-82.4592887,Tampa,FL
44,Angry Chair / Prairie - Barrel Aged Adjunct Trail,11,4.82,Angry Chair Brewing,American Imperial Stout,11.00%,south-atlantic,28.0051338,-82.4592887,Tampa,FL
45,Barrel Aged Imperial German Chocolate Cupcake Stout,250,4.72,Angry Chair Brewing,American Imperial Stout,11.00%,south-atlantic,28.0051338,-82.4592887,Tampa,FL
46,Soursmith Black Raspberry,39,4.6,Arclight Brewing Company,American Wild Ale,5.10%,great-lakes,42.1912005,-86.2590882,Watervliet,MI
47,DC Mountain Double IPA,80,4.29,Arizona Wilderness Brewing Co.,American Imperial IPA,8.00%,southwest,33.362981100000006,-111.8410686,Gilbert,AZ
48,Barrel Aged American Presidential Stout,47,4.4,Arizona Wilderness Brewing Co.,American Imperial Stout,11.50%,southwest,33.362981100000006,-111.8410686,Gilbert,AZ
49,Triple Orange Starfish,127,4.39,Aslin Beer Company,New England IPA,12.00%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
50,Juan de Bolas,30,4.53,Aslin Beer Company,American Imperial Stout,15.00%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
51,Johann The Mango Thief,110,4.42,Aslin Beer Company,New England IPA,9.40%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
52,Stellar Parallax,180,4.41,Aslin Beer Company,New England IPA,8.10%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
53,Bale,45,4.51,Aslin Beer Company,American Imperial Stout,13.50%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
54,Master Of Karate - Double Dry-Hopped,52,4.45,Aslin Beer Company,New England IPA,8.40%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
55,Mind The Hop,271,4.42,Aslin Beer Company,New England IPA,9.50%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
56,Double Orange Starfish,359,4.49,Aslin Beer Company,New England IPA,8.30%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
57,Master Of Oranges,184,4.37,Aslin Beer Company,New England IPA,8.40%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
58,Dunley Place,115,4.4,Aslin Beer Company,New England IPA,8.00%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
59,Orange Starfish,335,4.44,Aslin Beer Company,New England IPA,5.70%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
60,Astro Zombie,163,4.36,Aslin Beer Company,New England IPA,6.20%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
61,Master Of Karate,431,4.45,Aslin Beer Company,New England IPA,8.40%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
62,Double Dry Hopped Orange Starfish,40,4.45,Aslin Beer Company,New England IPA,5.70%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
63,Double Dry Hopped Dunley Place,108,4.38,Aslin Beer Company,New England IPA,8.00%,south-atlantic,38.9563734,-77.3747662,Herndon,VA
64,Heavy Machinery Double IPA,245,4.22,Austin Beerworks,American Imperial IPA,10.00%,southwest,30.3795473,-97.7297891,Austin,TX
65,Sputnik,156,4.23,Austin Beerworks,Russian Imperial Stout,8.00%,southwest,30.3795473,-97.7297891,Austin,TX
66,Raspberry Truffale,73,4.36,Avery Brewing Company,American Imperial Stout,14.00%,mountain,40.062562899999996,-105.20474270000001,Boulder,CO
67,Anniversary Ale - Twenty Five,71,4.26,Avery Brewing Company,Belgian Strong Dark Ale,14.50%,mountain,40.062562899999996,-105.20474270000001,Boulder,CO
68,Uncle Jacob's Stout,"2,941",4.42,Avery Brewing Company,American Imperial Stout,14.90%,mountain,40.062562899999996,-105.20474270000001,Boulder,CO
69,Tweak,"2,619",4.45,Avery Brewing Company,American Imperial Stout,16.00%,mountain,40.062562899999996,-105.20474270000001,Boulder,CO
70,Maharaja,"5,746",4.23,Avery Brewing Company,American Imperial IPA,10.20%,mountain,40.062562899999996,-105.20474270000001,Boulder,CO
71,Sculpin,"14,417",4.38,Ballast Point Brewing Company,American IPA,7.00%,pacific,32.7157,-117.1611,San Diego,CA
72,Victory At Sea - Coffee And Vanilla,"7,106",4.39,Ballast Point Brewing Company,American Imperial Porter,10.00%,pacific,32.7157,-117.1611,San Diego,CA
73,Victory At Sea - Barrel-Aged,363,4.41,Ballast Point Brewing Company,American Imperial Porter,12.20%,pacific,32.7157,-117.1611,San Diego,CA
74,Chaos,38,4.41,Barley Brown's Brewpub,American Black Ale,10.30%,northwest,44.7787862,-117.8294735,Baker City,OR
75,Tank Slapper DIPA,51,4.41,Barley Brown's Brewpub,American Imperial IPA,9.00%,northwest,44.7787862,-117.8294735,Baker City,OR
76,Pallet Jack IPA,242,4.31,Barley Brown's Brewpub,American IPA,7.20%,northwest,44.7787862,-117.8294735,Baker City,OR
77,Dark Knight,184,4.36,Barley John's Brew Pub,Baltic Porter,12.00%,midwest,45.0360527,-93.1982821,New Brighton,MN
78,Rain Drops,105,4.42,Barrel Theory Beer Company,New England IPA,7.50%,midwest,44.9509264,-93.0881907,Saint Paul,MN
79,Shooter McGavin,59,4.44,Barrel Theory Beer Company,American Imperial IPA,8.20%,midwest,44.9509264,-93.0881907,Saint Paul,MN
80,Rain Drops - Double Dry-Hopped With Citra And Vic Secret,31,4.46,Barrel Theory Beer Company,New England IPA,7.50%,midwest,44.9509264,-93.0881907,Saint Paul,MN
81,DDH Ever Clever,50,4.23,Bearded Iris Brewing,American Imperial IPA,8.50%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
82,Chief Of Chiefs,36,4.26,Bearded Iris Brewing,American Imperial IPA,7.50%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
83,Catalyst,49,4.25,Bearded Iris Brewing,American Imperial IPA,9.50%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
84,Kaleidoscope,11,4.39,Bearded Iris Brewing,American IPA,6.00%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
85,Attention Please! - DDH W/ Galaxy,21,4.36,Bearded Iris Brewing,American Imperial IPA,8.20%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
86,Attention Please! - DDH W/ Nelson Sauvin,16,4.43,Bearded Iris Brewing,American Imperial IPA,8.20%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
87,Red Handed,62,4.26,Bearded Iris Brewing,American Imperial IPA,7.50%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
88,Double Homestyle DDH w/ CITRA,13,4.36,Bearded Iris Brewing,American Imperial IPA,8.20%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
89,Hotline,35,4.33,Bearded Iris Brewing,New England IPA,7.00%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
90,Scatterbrain,112,4.17,Bearded Iris Brewing,American IPA,6.00%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
91,Chasing Rainbows,35,4.33,Bearded Iris Brewing,American IPA,5.80%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
92,DDH Tunnel Vision,58,4.29,Bearded Iris Brewing,New England IPA,6.80%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
93,Jigsaw,13,4.3,Bearded Iris Brewing,American Imperial IPA,7.70%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
94,Double Scatterbrain - DDH W/Citra,70,4.28,Bearded Iris Brewing,American Imperial IPA,8.00%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
95,V. Latte,41,4.33,Bearded Iris Brewing,American Imperial Stout,9.40%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
96,Tunnel Vision DDH with Citra,37,4.35,Bearded Iris Brewing,New England IPA,6.80%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
97,Homestyle,314,4.25,Bearded Iris Brewing,New England IPA,6.00%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
98,Chief Of Chiefs - Double Dry-Hopped,72,4.36,Bearded Iris Brewing,New England IPA,7.50%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
99,Double Homestyle,98,4.35,Bearded Iris Brewing,American Imperial IPA,8.20%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
100,Attention Please! - DDH W/ Vic Secret & Mosaic,47,4.41,Bearded Iris Brewing,American Imperial IPA,8.20%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
101,Attention Please,100,4.45,Bearded Iris Brewing,American Imperial IPA,8.20%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
102,Wavelength,35,4.22,Bearded Iris Brewing,American Imperial IPA,8.30%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
103,Ricochet,17,4.31,Bearded Iris Brewing,American IPA,7.00%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
104,Tunnel Vision,73,4.2,Bearded Iris Brewing,New England IPA,6.80%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
105,Offbeat,89,4.15,Bearded Iris Brewing,American Imperial IPA,7.50%,south,36.18099829999999,-86.7860011,Nashville-Davidson,TN
106,Hopslam Ale,"13,691",4.45,Bell's Brewery - Eccentric Café & General Store,American Imperial IPA,10.00%,great-lakes,42.294927,-85.5790038,Kalamazoo,MI
107,Black Note Stout,"4,878",4.54,Bell's Brewery - Eccentric Café & General Store,American Imperial Stout,11.20%,great-lakes,42.294927,-85.5790038,Kalamazoo,MI
108,Expedition Stout - Bourbon Barrel-Aged,640,4.46,Bell's Brewery - Eccentric Café & General Store,Russian Imperial Stout,13.40%,great-lakes,42.294927,-85.5790038,Kalamazoo,MI
109,Barrel Aged Double Shot Double Black,314,4.47,Bent Paddle Brewing Co.,American Black Ale,11.20%,midwest,46.768473,-92.120678,Duluth,MN
110,Ivan The Terrible Imperial Stout - Barrel-Aged,884,4.25,Big Sky Brewing Company,Russian Imperial Stout,11.60%,mountain,46.922211700000005,-114.072744,Missoula,MT
111,Swish,"1,563",4.58,Bissell Brothers Brewing Co.,New England IPA,8.00%,new-england,43.6514239,-70.290559,Portland,ME
112,Nothing Gold,369,4.44,Bissell Brothers Brewing Co.,New England IPA,8.20%,new-england,43.6514239,-70.290559,Portland,ME
113,Great Grandfather Raven,36,4.49,Black Raven Brewing Co.,American Imperial Stout,11.70%,northwest,47.685620899999996,-122.1445301,Redmond,WA
114,Old Birdbrain,103,4.3,Black Raven Brewing Co.,American Barleywine,11.50%,northwest,47.685620899999996,-122.1445301,Redmond,WA
115,Noble Cuvee,67,4.21,Blackberry Farm Brewery,Belgian Saison,6.30%,south,35.762038000000004,-83.9655693,Maryville,TN
116,Black Belle Imperial Stout,106,4.2,Blackstone Brewing Company,American Imperial Stout,10.20%,south,36.1582166,-86.81024459999998,Nashville-Davidson,TN
117,Sticky Hands,454,4.34,Block 15 Brewery & Restaurant,American Imperial IPA,8.10%,northwest,44.5302722,-123.2691108,Corvallis,OR
118,Intergalactic Hop Shop,60,4.41,Block 15 Brewery & Restaurant,New England IPA,7.75%,northwest,44.5302722,-123.2691108,Corvallis,OR
119,Golden Canary,123,4.42,Block 15 Brewery & Restaurant,American Wild Ale,7.25%,northwest,44.5302722,-123.2691108,Corvallis,OR
120,Super Nebula,226,4.27,Block 15 Brewery & Restaurant,American Imperial Stout,11.00%,northwest,44.5302722,-123.2691108,Corvallis,OR
121,Sticky Hands- Tropical Slam,37,4.45,Block 15 Brewery & Restaurant,American Imperial IPA,8.25%,northwest,44.5302722,-123.2691108,Corvallis,OR
122,Turbulent Consequence: Peche,116,4.45,Block 15 Brewery & Restaurant,American Wild Ale,6.25%,northwest,44.5302722,-123.2691108,Corvallis,OR
123,Dark Hollow Reserve: Concealed Darkness,43,4.44,Blue Mountain Brewery,American Imperial Stout,10.60%,south-atlantic,38.016134,-78.821844,Avon,VA
124,Hop Venom Double IPA,"1,001",4.43,Boneyard Beer Company,American Imperial IPA,8.90%,northwest,44.053979999999996,-121.3080801,Bend,OR
125,Notorious Triple IPA,847,4.54,Boneyard Beer Company,American Imperial IPA,12.00%,northwest,44.053979999999996,-121.3080801,Bend,OR
126,Armored Fist Double CDA,222,4.29,Boneyard Beer Company,American Black Ale,10.00%,northwest,44.053979999999996,-121.3080801,Bend,OR
127,RPM IPA,929,4.32,Boneyard Beer Company,American IPA,7.50%,northwest,44.053979999999996,-121.3080801,Bend,OR
128,Samuel Adams Utopias,"2,673",4.46,Boston Beer Company (Samuel Adams),American Strong Ale,28.00%,new-england,42.31464879999999,-71.1029118,Boston,MA
129,Jam The Radar,301,4.49,Bottle Logic Brewing,American Imperial Stout,13.70%,pacific,33.8495445,-117.85977460000001,Anaheim,CA
130,Stronger Than Fiction,161,4.39,Bottle Logic Brewing,American Strong Ale,14.20%,pacific,33.8495445,-117.85977460000001,Anaheim,CA
131,Fundamental Observation,"1,302",4.69,Bottle Logic Brewing,American Imperial Stout,14.30%,pacific,33.8495445,-117.85977460000001,Anaheim,CA
132,Number Crunch,185,4.52,Bottle Logic Brewing,American Imperial Stout,13.60%,pacific,33.8495445,-117.85977460000001,Anaheim,CA
133,Space Trace,351,4.51,Bottle Logic Brewing,American Imperial Stout,11.10%,pacific,33.8495445,-117.85977460000001,Anaheim,CA
134,Red Eye November,259,4.49,Bottle Logic Brewing,Russian Imperial Stout,13.20%,pacific,33.8495445,-117.85977460000001,Anaheim,CA
135,Darkstar November,618,4.47,Bottle Logic Brewing,Russian Imperial Stout,13.70%,pacific,33.8495445,-117.85977460000001,Anaheim,CA
136,Leche Borracho,412,4.51,Bottle Logic Brewing,American Imperial Stout,11.00%,pacific,33.8495445,-117.85977460000001,Anaheim,CA
137,Ground State,617,4.51,Bottle Logic Brewing,American Imperial Stout,13.40%,pacific,33.8495445,-117.85977460000001,Anaheim,CA
138,Rye On Rye On Rye,248,4.32,Boulevard Brewing Co.,Rye Beer,14.00%,midwest,39.082097,-94.59673599999999,Kansas City,MO
139,Vulgar Display Of Power,54,4.35,Brash Brewing Company,Russian Imperial Stout,13.00%,southwest,29.829406199999998,-95.4076111,Houston,TX
140,Milk The Venom,50,4.4,Brash Brewing Company,American Imperial Stout,9.00%,southwest,29.829406199999998,-95.4076111,Houston,TX
141,Hammer Smashed Face,50,4.44,Brash Brewing Company,Russian Imperial Stout,15.00%,southwest,29.829406199999998,-95.4076111,Houston,TX
142,Cortado,92,4.31,Brash Brewing Company,American Imperial Stout,10.00%,southwest,29.829406199999998,-95.4076111,Houston,TX
143,Abide,49,4.25,Brash Brewing Company,American Imperial Stout,10.00%,southwest,29.829406199999998,-95.4076111,Houston,TX
144,Braxton Labs New England IPA #001,23,4.22,Braxton Brewing Company,New England IPA,6.80%,south,39.08289389999999,-84.5109208,Covington,KY
145,Albatross,86,4.53,Brew Gentlemen,New England IPA,8.00%,mid-atlantic,40.404211100000005,-79.87015059999999,Braddock,PA
146,DoubleMex,71,4.52,Brew Gentlemen,American Imperial Stout,9.90%,mid-atlantic,40.404211100000005,-79.87015059999999,Braddock,PA
147,Recertified,36,4.47,Brew Gentlemen,American Imperial IPA,8.00%,mid-atlantic,40.404211100000005,-79.87015059999999,Braddock,PA
148,Mammoth,91,4.44,Brew Gentlemen,American Imperial IPA,8.50%,mid-atlantic,40.404211100000005,-79.87015059999999,Braddock,PA
149,FOSHOMO,58,4.51,Brew Gentlemen,American Imperial IPA,8.20%,mid-atlantic,40.404211100000005,-79.87015059999999,Braddock,PA
150,Coconut Porter,43,4.31,Broken Compass Brewing,American Porter,4.80%,mountain,39.514849700000006,-106.05344939999999,Gold Hill,CO
151,Sour In The Rye - Peaches,582,4.43,Bruery Terreux,American Wild Ale,7.00%,pacific,33.8574219,-117.8425009,Anaheim,CA
152,Sour In The Rye - Kumquats,"1,009",4.4,Bruery Terreux,American Wild Ale,7.20%,pacific,33.8574219,-117.8425009,Anaheim,CA
153,Tart Of Darkness - Cherries And Vanilla,445,4.37,Bruery Terreux,American Wild Ale,7.00%,pacific,33.8574219,-117.8425009,Anaheim,CA
154,Oude Tart - Cherries,"1,201",4.42,Bruery Terreux,Flanders Red Ale,8.80%,pacific,33.8574219,-117.8425009,Anaheim,CA
155,Royal Oil,88,4.47,Bull & Bush Brewery,American Strong Ale,13.50%,mountain,39.7392,-104.9903,Denver,CO
156,Legend Of The Liquid Brain,170,4.41,Bull & Bush Brewery,American Imperial Stout,12.00%,mountain,39.7392,-104.9903,Denver,CO
157,Le Roar Grrrz Kriek,203,4.42,Bullfrog Brewery,American Wild Ale,6.00%,mid-atlantic,41.240337,-77.00566500000001,Williamsport,PA
158,Le Roar Grrrz Apricot,115,4.38,Bullfrog Brewery,American Wild Ale,7.00%,mid-atlantic,41.240337,-77.00566500000001,Williamsport,PA
159,Le Roar Grrrz,172,4.48,Bullfrog Brewery,Belgian Gueuze,Gueuze,mid-atlantic,41.240337,-77.00566500000001,Williamsport,PA
160,Alpha Hive Double IPA,180,4.19,COOP Ale Works,American Imperial IPA,9.10%,southwest,35.41854420000001,-97.6577985,Oklahoma City,OK
161,Mogli,806,4.26,Caldera Brewing Company,American Imperial Porter,8.50%,northwest,42.181900899999995,-122.66285400000001,Ashland,OR
162,Citronious,74,4.43,Calusa Brewing,New England IPA,6.50%,south-atlantic,27.270882300000004,-82.48373670000001,Bee Ridge,FL
163,Flaming Fury,282,4.37,Captain Lawrence Brewing Co.,American Wild Ale,8.00%,mid-atlantic,41.070677200000006,-73.8140416,Town of Greenburgh,NY
164,Cuvée De Castleton,570,4.37,Captain Lawrence Brewing Co.,American Wild Ale,8.40%,mid-atlantic,41.070677200000006,-73.8140416,Town of Greenburgh,NY
165,077-07871 - Mosaic,91,4.4,Carton Brewing Company,American Imperial IPA,7.80%,mid-atlantic,40.411782200000005,-74.0381795,Atlantic Highlands,NJ
166,Cafe Y Churro,226,4.41,Carton Brewing Company,American Cream Ale,12.00%,mid-atlantic,40.411782200000005,-74.0381795,Atlantic Highlands,NJ
167,Frambuesa De La Casa,33,4.51,Casa Agria Specialty Ales,Belgian Saison,6.70%,pacific,34.2082229,-119.12834,Oxnard,CA
168,Kentucky Peach,64,4.43,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,8.30%,northwest,45.485799,-122.754126,Raleigh Hills,OR
169,Sang Noir,"1,812",4.45,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,9.30%,northwest,45.485799,-122.754126,Raleigh Hills,OR
170,Diesel Imperial Stout,62,4.33,Cascade Brewing / Raccoon Lodge & Brewpub,American Imperial Stout,8.80%,northwest,45.485799,-122.754126,Raleigh Hills,OR
171,Cascade Sang Royal,935,4.38,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,9.35%,northwest,45.485799,-122.754126,Raleigh Hills,OR
172,Cascade Bourbonic Plague,619,4.26,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,10.50%,northwest,45.485799,-122.754126,Raleigh Hills,OR
173,Cascade Vlad The Imp Aler,738,4.27,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,12.30%,northwest,45.485799,-122.754126,Raleigh Hills,OR
174,Manhattan NW,358,4.27,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,10.30%,northwest,45.485799,-122.754126,Raleigh Hills,OR
175,Cascade Noyaux,970,4.39,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,8.50%,northwest,45.485799,-122.754126,Raleigh Hills,OR
176,Apricot Ale,"1,792",4.34,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,8.50%,northwest,45.485799,-122.754126,Raleigh Hills,OR
177,Casey Family Preserves - Elephant Heart Plum,33,4.34,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
178,Leaner,165,4.59,Casey Brewing & Blending,Belgian Saison,8.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
179,Casey Family Preserves - Montmorency Cherry,96,4.27,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
180,Fruit Stand - Blackberry,144,4.26,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
181,Dry Hopped Saison - Cascade,51,4.33,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
182,Fruit Stand - Peach,120,4.29,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
183,Fruit Stand - Montmorency Cherry,250,4.27,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
184,The Cut: Raspberry,17,4.55,Casey Brewing & Blending,American Wild Ale,6.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
185,Casey Family Preserves - Apricot,72,4.33,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
186,Casey / Side Project - Velvet,18,4.54,Casey Brewing & Blending,American Wild Ale,8.00%,mountain,39.51574229999999,-107.31950649999999,Glenwood Springs,CO
