,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region,Latitude,Longitude
206,Assassin,"1,353",4.65,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest,43.2739945,-91.7263179
207,Beer:Barrel:Time,164,4.67,Side Project Brewing,American Imperial Stout,15.00%,midwest,38.61188,-90.321888
208,Fuzzy,929,4.61,Side Project Brewing,American Wild Ale,8.00%,midwest,38.61188,-90.321888
209,King Sue,"2,566",4.6,Toppling Goliath Brewing Company,New England IPA,7.80%,midwest,43.2739945,-91.7263179
210,Abricot Du Fermier,342,4.61,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888
211,Maman,332,4.6,Perennial Artisan Ales,American Imperial Stout,11.50%,midwest,38.545549,-90.265596
212,Nillerzzzzz,69,4.67,Forager Brewing Company,American Imperial Stout,14.00%,midwest,44.0294487,-92.47824109999999
213,Pseudo Sue - Double Dry-Hopped,"1,036",4.56,Toppling Goliath Brewing Company,American Pale Ale (APA),5.80%,midwest,43.2739945,-91.7263179
214,Saison Du Fermier,790,4.56,Side Project Brewing,Belgian Saison,7.00%,midwest,38.61188,-90.321888
215,Derivation Blend #9 (Cinnamon/Maple),22,4.83,Side Project Brewing,American Imperial Stout,14.00%,midwest,38.61188,-90.321888
216,Pseudo Sue,"5,172",4.51,Toppling Goliath Brewing Company,American Pale Ale (APA),6.20%,midwest,43.2739945,-91.7263179
217,Coconut Vibes,75,4.6,Shared Brewing,Russian Imperial Stout,13.00%,midwest,38.627,-90.1994
218,Leaner,73,4.6,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888
219,Smooth,142,4.55,Side Project Brewing,American Wild Ale,6.00%,midwest,38.61188,-90.321888
220,Abrasive Ale,"4,678",4.5,Surly Brewing Company,American Imperial IPA,9.00%,midwest,44.9729768,-93.20981830000001
221,Barrel-Aged Sump Coffee Stout,585,4.51,Perennial Artisan Ales,American Imperial Stout,10.50%,midwest,38.545549,-90.265596
222,Barrel-Aged Silhouette,497,4.51,Lift Bridge Brewery,Russian Imperial Stout,10.00%,midwest,45.039217,-92.831768
223,La Fosse,361,4.51,Side Project Brewing,American Wild Ale,8.00%,midwest,38.61188,-90.321888
224,Sosus,"1,835",4.49,Toppling Goliath Brewing Company,New England IPA,8.00%,midwest,43.2739945,-91.7263179
225,Thicket,195,4.52,Side Project Brewing,American Wild Ale,6.00%,midwest,38.61188,-90.321888
226,Blanc De Blancs,260,4.51,Side Project Brewing,Bière de Champagne / Bière Brut,10.00%,midwest,38.61188,-90.321888
227,Peche Du Fermier,180,4.52,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888
228,Darkness,"4,073",4.48,Surly Brewing Company,Russian Imperial Stout,10.30%,midwest,44.9729768,-93.20981830000001
229,Jammy,155,4.52,Side Project Brewing,American Wild Ale,8.00%,midwest,38.61188,-90.321888
230,Abraxas,"2,875",4.47,Perennial Artisan Ales,American Imperial Stout,10.00%,midwest,38.545549,-90.265596
231,Coffee Abraxas,615,4.47,Perennial Artisan Ales,American Imperial Stout,10.00%,midwest,38.545549,-90.265596
232,Todd The Axe Man,"2,674",4.46,Surly Brewing Company,American IPA,7.20%,midwest,44.9729768,-93.20981830000001
233,Barrel Aged Double Shot Double Black,314,4.47,Bent Paddle Brewing Co.,American Black Ale,11.20%,midwest,46.768473,-92.120678
234,Vanilla Bean Abraxas,275,4.47,Perennial Artisan Ales,American Imperial Stout,10.00%,midwest,38.545549,-90.265596
235,Darkness - Bourbon Barrel-Aged,247,4.46,Surly Brewing Company,Russian Imperial Stout,12.00%,midwest,44.9729768,-93.20981830000001
236,Madagascar,874,4.44,4 Hands Brewing Co.,English Sweet / Milk Stout,9.30%,midwest,38.6149554,-90.19752570000001
237,Russian Roulette,102,4.49,Minneapolis Town Hall Brewery,Russian Imperial Stout,9.30%,midwest,44.9733315,-93.2477857
238,Stupid Good,48,4.55,Disgruntled Brewing,New England IPA,6.60%,midwest,46.5904023,-95.5589126
239,Supa' Sumo,324,4.44,Toppling Goliath Brewing Company,American Imperial IPA,7.80%,midwest,43.2739945,-91.7263179
240,Saison Du Fermier - Pinot Noir Puncheons,76,4.5,Side Project Brewing,Belgian Saison,7.00%,midwest,38.61188,-90.321888
241,Sump Coffee Stout,"1,749",4.42,Perennial Artisan Ales,American Imperial Stout,10.50%,midwest,38.545549,-90.265596
242,Derivation Blend #10,49,4.54,Side Project Brewing,American Imperial Stout,14.00%,midwest,38.61188,-90.321888
243,Coffee Shop Vibes - Peruvian,62,4.51,Shared Brewing,American Imperial Stout,13.00%,midwest,38.627,-90.1994
244,Pseudo Sue - Mosaic Dry-Hopped,332,4.43,Toppling Goliath Brewing Company,American Pale Ale (APA),6.20%,midwest,43.2739945,-91.7263179
245,Balaton,204,4.44,Side Project Brewing,American Wild Ale,5.00%,midwest,38.61188,-90.321888
246,Breakfast Nook,21,4.69,Forager Brewing Company,American Imperial Porter,12.00%,midwest,44.0294487,-92.47824109999999
247,Term Oil,48,4.53,Toppling Goliath Brewing Company,American Imperial Stout,12.00%,midwest,43.2739945,-91.7263179
248,Barrel-Aged Vermilion Barleywine,79,4.48,Perennial Artisan Ales,British Barleywine,11.00%,midwest,38.545549,-90.265596
249,Three Hour Tour,302,4.42,Minneapolis Town Hall Brewery,English Sweet / Milk Stout,6.10%,midwest,44.9733315,-93.2477857
250,Saison Du Blé,535,4.41,Side Project Brewing,Belgian Saison,6.00%,midwest,38.61188,-90.321888
251,O.W.K.,11,4.93,Side Project Brewing,American Imperial Stout,15.00%,midwest,38.61188,-90.321888
252,XHops - Gold,579,4.4,Toppling Goliath Brewing Company,American Pale Ale (APA),5.30%,midwest,43.2739945,-91.7263179
253,Bleuet Du Fermier,81,4.46,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888
254,Oude Du Blé,71,4.47,Side Project Brewing,Belgian Saison,7.00%,midwest,38.61188,-90.321888
255,Fencerow,213,4.41,Side Project Brewing,American Wild Ale,6.00%,midwest,38.61188,-90.321888
256,Twisted Trace,174,4.41,Minneapolis Town Hall Brewery,American Barleywine,9.90%,midwest,44.9733315,-93.2477857
257,Kriek Du Fermier,31,4.56,Side Project Brewing,Belgian Saison,8.00%,midwest,38.61188,-90.321888
258,Pudding Dribbles,24,4.61,Forager Brewing Company,American Imperial Porter,11.30%,midwest,44.0294487,-92.47824109999999
259,Apricot Funky Wit,32,4.55,Perennial Artisan Ales,Belgian Witbier,5.00%,midwest,38.545549,-90.265596
260,Term Oil 18-A,22,4.63,Toppling Goliath Brewing Company,American Imperial Stout,Stout,midwest,43.2739945,-91.7263179
261,OJ Run,92,4.43,Narrow Gauge Brewing Company,American Imperial IPA,8.60%,midwest,38.7988498,-90.31904899999999
262,Scorpius Morchella,255,4.39,Toppling Goliath Brewing Company,New England IPA,7.80%,midwest,43.2739945,-91.7263179
263,Rain Drops,105,4.42,Barrel Theory Beer Company,New England IPA,7.50%,midwest,44.9509264,-93.0881907
264,Carpe Diem,54,4.47,Madhouse Brewing Company,American Imperial Stout,11.50%,midwest,41.5811277,-93.60772600000001
265,Ol' Jack Frost Imperial Stout,64,4.45,Minneapolis Town Hall Brewery,Russian Imperial Stout,9.50%,midwest,44.9733315,-93.2477857
266,HOPSMACK!,714,4.37,Toppling Goliath Brewing Company,American Imperial IPA,7.70%,midwest,43.2739945,-91.7263179
267,Barrel-Aged Coconut Vibes,15,4.73,Shared Brewing,Russian Imperial Stout,15.00%,midwest,38.627,-90.1994
268,Rosé Du Blé,95,4.42,Side Project Brewing,Belgian Saison,6.00%,midwest,38.61188,-90.321888
269,Blueberry Flanders,277,4.38,Side Project Brewing,Flanders Red Ale,7.00%,midwest,38.61188,-90.321888
270,Saison Du Fermier - Foedre Fermier,107,4.41,Side Project Brewing,Belgian Saison,7.00%,midwest,38.61188,-90.321888
271,Passé,38,4.5,515 Brewing Company,American Pale Ale (APA),6.00%,midwest,41.6000032,-93.7227568
272,Volume # 1,215,4.38,4 Hands Brewing Co.,American Imperial Stout,10.50%,midwest,38.6149554,-90.19752570000001
273,Coffee Assassin,22,4.6,Toppling Goliath Brewing Company,American Imperial Stout,Stout,midwest,43.2739945,-91.7263179
274,"Fire, Skulls & Money",505,4.36,Toppling Goliath Brewing Company,New England IPA,7.20%,midwest,43.2739945,-91.7263179
275,Shooter McGavin,59,4.44,Barrel Theory Beer Company,American Imperial IPA,8.20%,midwest,44.9509264,-93.0881907
276,Pseudo Sue - Galaxy Dry-Hopped,376,4.36,Toppling Goliath Brewing Company,American Pale Ale (APA),6.20%,midwest,43.2739945,-91.7263179
277,Fallen Flag - Double Dry-Hopped,114,4.39,Narrow Gauge Brewing Company,New England IPA,7.00%,midwest,38.7988498,-90.31904899999999
278,Dark Knight,184,4.36,Barley John's Brew Pub,Baltic Porter,12.00%,midwest,45.0360527,-93.1982821
279,King Fallen Flag,47,4.44,Narrow Gauge Brewing Company,American Imperial IPA,8.60%,midwest,38.7988498,-90.31904899999999
280,Dragon Fandango,73,4.4,Toppling Goliath Brewing Company,American Wild Ale,5.00%,midwest,43.2739945,-91.7263179
281,Czar Jack Imperial Stout,429,4.34,Minneapolis Town Hall Brewery,Russian Imperial Stout,9.30%,midwest,44.9733315,-93.2477857
282,Raspe,63,4.41,Side Project Brewing,American Wild Ale,6.00%,midwest,38.61188,-90.321888
283,Längst,30,4.5,Side Project Brewing,German Altbier,10.00%,midwest,38.61188,-90.321888
284,Before The Dawn,207,4.35,Steel Toe Brewing,American Barleywine,13.70%,midwest,44.9413609,-93.3412154
285,Rum King,520,4.33,Indeed Brewing Company,American Imperial Stout,10.50%,midwest,45.00336979999999,-93.2515313
286,OJ Run - Double Dry-Hopped,56,4.41,Narrow Gauge Brewing Company,American Imperial IPA,8.60%,midwest,38.7988498,-90.31904899999999
287,Masala Mama India Pale Ale,"1,391",4.32,Minneapolis Town Hall Brewery,American IPA,6.00%,midwest,44.9733315,-93.2477857
288,Coconut Assassin,16,4.63,Toppling Goliath Brewing Company,American Imperial Stout,Stout,midwest,43.2739945,-91.7263179
289,Coffee Shop Vibes - Colombian Duarte,16,4.63,Shared Brewing,Russian Imperial Stout,13.00%,midwest,38.627,-90.1994
290,Fallen Flag,126,4.35,Narrow Gauge Brewing Company,New England IPA,7.00%,midwest,38.7988498,-90.31904899999999
291,Pompeii,"1,309",4.31,Toppling Goliath Brewing Company,American IPA,6.20%,midwest,43.2739945,-91.7263179
292,Biere Du Pays,350,4.32,Side Project Brewing,Belgian Saison,4.00%,midwest,38.61188,-90.321888
293,ZeeLander,"1,022",4.31,Toppling Goliath Brewing Company,American IPA,5.50%,midwest,43.2739945,-91.7263179
294,Coffee Shop Vibes,28,4.48,Shared Brewing,Russian Imperial Stout,13.00%,midwest,38.627,-90.1994
295,Fair State / Modern Times - Spirit Foul,73,4.37,Fair State Brewing Cooperative,New England IPA,6.30%,midwest,45.013565,-93.247565
296,Sticker Fight,131,4.34,Steel Toe Brewing,American Imperial IPA,8.50%,midwest,44.9413609,-93.3412154
297,Rain Drops - Double Dry-Hopped With Citra And Vic Secret,31,4.46,Barrel Theory Beer Company,New England IPA,7.50%,midwest,44.9509264,-93.0881907
298,Barrel-Aged 17 Mint Chocolate Stout,260,4.32,Perennial Artisan Ales,American Imperial Stout,11.50%,midwest,38.545549,-90.265596
299,Rye On Rye On Rye,248,4.32,Boulevard Brewing Co.,Rye Beer,14.00%,midwest,39.082097,-94.596736
300,Leaner,165,4.59,Casey Brewing & Blending,Belgian Saison,8.00%,mountain,39.5157423,-107.3195065
301,Medianoche - Coconut,110,4.59,WeldWerks Brewing Co.,American Imperial Stout,14.10%,mountain,40.428113,-104.6905134
302,The Cut: Sour Balaton Cherry,143,4.56,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.5157423,-107.3195065
303,Ten FIDY - Bourbon Barrel Aged,"2,069",4.47,Oskar Blues Grill & Brew,Russian Imperial Stout,12.90%,mountain,39.7501564,-104.9976582
304,Tweak,"2,619",4.45,Avery Brewing Company,American Imperial Stout,16.00%,mountain,40.0625629,-105.2047427
305,Oskar Blues / Cigar City - Bamburana,180,4.47,Oskar Blues Grill & Brew,American Imperial Stout,12.20%,mountain,39.7501564,-104.9976582
306,Uncle Jacob's Stout,"2,941",4.42,Avery Brewing Company,American Imperial Stout,14.90%,mountain,40.0625629,-105.2047427
307,Medianoche - Peanut Butter Cup,34,4.6,WeldWerks Brewing Co.,American Imperial Stout,13.10%,mountain,40.428113,-104.6905134
308,Triple Barrel Big Bad Baptist,418,4.42,Epic Brewing Company,American Imperial Stout,11.20%,mountain,40.7511577,-111.8878131
309,Big Bad Baptista,735,4.41,Epic Brewing Company,American Imperial Stout,11.70%,mountain,40.7511577,-111.8878131
310,Persica,214,4.43,Crooked Stave Artisan Beer Project,American Wild Ale,6.00%,mountain,39.7392,-104.9903
311,Royal Oil,88,4.47,Bull & Bush Brewery,American Strong Ale,13.50%,mountain,39.7392,-104.9903
312,Achromatic - Coffee Maple,113,4.45,WeldWerks Brewing Co.,American Imperial Stout,10.20%,mountain,40.428113,-104.6905134
313,Nightmare On Brett,584,4.39,Crooked Stave Artisan Beer Project,American Brett,9.66%,mountain,39.7392,-104.9903
314,Ten FIDY,"10,121",4.38,Oskar Blues Grill & Brew,American Imperial Stout,10.50%,mountain,39.7501564,-104.9976582
315,Nightmare On Brett Raspberry,120,4.43,Crooked Stave Artisan Beer Project,American Brett,9.66%,mountain,39.7392,-104.9903
316,Fruit Stand - Apricot,99,4.44,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.5157423,-107.3195065
317,Legend Of The Liquid Brain,170,4.41,Bull & Bush Brewery,American Imperial Stout,12.00%,mountain,39.7392,-104.9903
318,Quadruple Barrel Big Bad Baptist,218,4.4,Epic Brewing Company,American Imperial Stout,12.50%,mountain,40.7511577,-111.8878131
319,Casey Family Preserves - Nectarine,57,4.47,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.5157423,-107.3195065
320,Big Bad Baptist,"3,978",4.36,Epic Brewing Company,American Imperial Stout,11.80%,mountain,40.7511577,-111.8878131
321,Oak Theory,252,4.38,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.5157423,-107.3195065
322,Bligh's Barleywine Ale,559,4.36,Dry Dock Brewing Co.,British Barleywine,10.00%,mountain,39.6526645,-104.8120404
323,Medianoche,55,4.45,WeldWerks Brewing Co.,American Imperial Stout,14.10%,mountain,40.428113,-104.6905134
324,Double Barrel Big Bad Baptist,346,4.36,Epic Brewing Company,American Imperial Stout,12.80%,mountain,40.7511577,-111.8878131
325,The Cut: Blackberry,73,4.42,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.5157423,-107.3195065
326,Peach Climacteric,44,4.47,WeldWerks Brewing Co.,American Wild Ale,7.10%,mountain,40.428113,-104.6905134
327,Dry Hopped Oak Theory - Amarillo & Simcoe,31,4.51,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.5157423,-107.3195065
328,Saison,410,4.34,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.5157423,-107.3195065
329,Casey Family Preserves - Laroda Plum,46,4.44,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.5157423,-107.3195065
330,Casey Family Preserves - Peach Glow Haven And Roza,48,4.43,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.5157423,-107.3195065
331,Juicy Bits - Double Dry-Hopped,73,4.39,WeldWerks Brewing Co.,New England IPA,6.70%,mountain,40.428113,-104.6905134
332,Casey Family Preserves - Sweet Cherry,41,4.44,Casey Brewing & Blending,Belgian Saison,5.00%,mountain,39.5157423,-107.3195065
333,Yeti - Barrel-Aged,917,4.31,Great Divide Brewing Company,American Imperial Stout,12.50%,mountain,39.7392,-104.9903
334,Jammy,46,4.42,Casey Brewing & Blending,Belgian Saison,8.00%,mountain,39.5157423,-107.3195065
335,Juicy Bits,325,4.32,WeldWerks Brewing Co.,New England IPA,6.70%,mountain,40.428113,-104.6905134
336,Advanced Oak Theory,92,4.36,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.5157423,-107.3195065
337,East Bank,294,4.32,Casey Brewing & Blending,Belgian Saison,6.50%,mountain,39.5157423,-107.3195065
338,The Cut: Peach,77,4.37,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.5157423,-107.3195065
339,L'Brett D'Or - Dry Hopped,128,4.34,Crooked Stave Artisan Beer Project,American Wild Ale,5.00%,mountain,39.7392,-104.9903
340,Raspberry Origins,242,4.32,Crooked Stave Artisan Beer Project,American Wild Ale,7.00%,mountain,39.7392,-104.9903
341,2x4 DIPA,815,4.3,Melvin Brewing / Thai Me Up,American Imperial IPA,9.90%,mountain,43.4799,-110.7624
342,Raspberry Truffale,73,4.36,Avery Brewing Company,American Imperial Stout,14.00%,mountain,40.0625629,-105.2047427
343,Nightmare On Brett - Cherry,100,4.34,Crooked Stave Artisan Beer Project,American Brett,9.66%,mountain,39.7392,-104.9903
344,Le Terroir,"2,447",4.29,New Belgium Brewing,American Wild Ale,7.50%,mountain,40.5853,-105.0844
345,Ten FIDY - Bourbon Barrel-Aged - Java,149,4.32,Oskar Blues Grill & Brew,American Imperial Stout,10.50%,mountain,39.7501564,-104.9976582
346,Medianoche - Vanilla,29,4.46,WeldWerks Brewing Co.,American Imperial Stout,14.10%,mountain,40.428113,-104.6905134
347,Crooked Stave / Omnipollo Bianca Raspberry Wild Wild Brett,52,4.38,Crooked Stave Artisan Beer Project,American Brett,6.00%,mountain,39.7392,-104.9903
348,Ten FIDY - Rum Barrel-Aged,128,4.32,Oskar Blues Grill & Brew,American Imperial Stout,14.17%,mountain,39.7501564,-104.9976582
349,Mama Bear's Sour Cherry Pie,257,4.3,Crooked Stave Artisan Beer Project,American Wild Ale,7.00%,mountain,39.7392,-104.9903
350,Casey Family Preserves - Santa Rosa Plum,36,4.42,Casey Brewing & Blending,American Wild Ale,6.00%,mountain,39.5157423,-107.3195065
351,Dry Hopped Oak Theory - Citra & Mosaic,28,4.46,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.5157423,-107.3195065
352,Myrcenary Double IPA,"2,970",4.28,Odell Brewing Company,American Imperial IPA,9.30%,mountain,40.5894674,-105.0631819
353,L'Brett D'Or,409,4.29,Crooked Stave Artisan Beer Project,American Wild Ale,5.00%,mountain,39.7392,-104.9903
354,Superpower IPA,218,4.3,Comrade Brewing Company,American IPA,7.30%,mountain,39.675659,-104.898488
355,The Cut: Apricot,66,4.35,Casey Brewing & Blending,American Wild Ale,5.00%,mountain,39.5157423,-107.3195065
356,Asterisk IIPA,290,4.29,Melvin Brewing / Thai Me Up,American Imperial IPA,9.00%,mountain,43.4799,-110.7624
357,Brett Loves Citra,166,4.3,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.5157423,-107.3195065
358,Espresso Oak Aged Yeti Imperial Stout,"3,789",4.27,Great Divide Brewing Company,American Imperial Stout,9.50%,mountain,39.7392,-104.9903
359,Da Yoopers,29,4.44,Rocky Mountain Brewing,Fruit and Field Beer,d Beer,mountain,38.8412875,-104.7163843
360,Extra Extra Juicy Bits,60,4.35,WeldWerks Brewing Co.,American Imperial IPA,8.40%,mountain,40.428113,-104.6905134
361,Hop Vivant,32,4.42,Mountain Sun Pub & Brewery,American Imperial IPA,9.70%,mountain,40.01901050000001,-105.2752073
362,Casey / Side Project - Velvet,18,4.54,Casey Brewing & Blending,American Wild Ale,8.00%,mountain,39.5157423,-107.3195065
363,Casey Family Preserves - Apricot,72,4.33,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.5157423,-107.3195065
364,The Cut: Raspberry,17,4.55,Casey Brewing & Blending,American Wild Ale,6.00%,mountain,39.5157423,-107.3195065
365,IPA,"3,220",4.26,Odell Brewing Company,American IPA,7.00%,mountain,40.5894674,-105.0631819
366,In The Steep,45,4.36,Outer Range Brewing Co,New England IPA,6.70%,mountain,39.5892152,-106.0989536
367,Juicy Bits - Double Dry-Hopped With Galaxy,55,4.34,WeldWerks Brewing Co.,New England IPA,6.70%,mountain,40.428113,-104.6905134
368,Origins,617,4.26,Crooked Stave Artisan Beer Project,American Wild Ale,6.50%,mountain,39.7392,-104.9903
369,Fruit Stand - Montmorency Cherry,250,4.27,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.5157423,-107.3195065
370,Cerebral/ Fiction/ Weldwerks/ Odd 13 Brewing Robot Librarian,60,4.33,Odd13 Brewing,American Imperial IPA,8.25%,mountain,39.9983913,-105.0878534
371,Fruit Stand - Peach,120,4.29,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.5157423,-107.3195065
372,Oak Aged Yeti Imperial Stout,"4,633",4.25,Great Divide Brewing Company,American Imperial Stout,9.50%,mountain,39.7392,-104.9903
373,La Folie,"4,029",4.25,New Belgium Brewing,Flanders Oud Bruin,7.00%,mountain,40.5853,-105.0844
374,Ivan The Terrible Imperial Stout - Barrel-Aged,884,4.25,Big Sky Brewing Company,Russian Imperial Stout,11.60%,mountain,46.9222117,-114.072744
375,Signature Series Double Coffee Porter,78,4.3,Dry Dock Brewing Co.,American Imperial Porter,9.30%,mountain,39.6526645,-104.8120404
376,Citradamus IIPA,223,4.26,Melvin Brewing / Thai Me Up,American Imperial IPA,9.50%,mountain,43.4799,-110.7624
377,Dry Hopped Saison - Cascade,51,4.33,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.5157423,-107.3195065
378,Double Dry-hopped Codename: Superfan,23,4.44,Odd13 Brewing,New England IPA,6.50%,mountain,39.9983913,-105.0878534
379,Superdamp IPA,45,4.34,Comrade Brewing Company,American IPA,6.90%,mountain,39.675659,-104.898488
380,Jolly Russian,265,4.25,Odell Brewing Company,Russian Imperial Stout,13.00%,mountain,40.5894674,-105.0631819
381,Maharaja,"5,746",4.23,Avery Brewing Company,American Imperial IPA,10.20%,mountain,40.0625629,-105.2047427
382,Fruit Stand - Blackberry,144,4.26,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.5157423,-107.3195065
383,L'Brett D'Raspberry,105,4.27,Crooked Stave Artisan Beer Project,American Wild Ale,5.00%,mountain,39.7392,-104.9903
384,Crooked Line: Labyrinth Black Ale,"1,144",4.23,Uinta Brewing Company,American Imperial Stout,13.20%,mountain,40.732612,-111.954166
385,Casey Family Preserves - Montmorency Cherry,96,4.27,Casey Brewing & Blending,Belgian Saison,6.00%,mountain,39.5157423,-107.3195065
386,Petite Sour - Blueberry,449,4.23,Crooked Stave Artisan Beer Project,American Wild Ale,4.50%,mountain,39.7392,-104.9903
387,Chocolate Oak Aged Yeti,"3,124",4.22,Great Divide Brewing Company,American Imperial Stout,9.50%,mountain,39.7392,-104.9903
388,Superpower IPA - Fresh Hop,16,4.49,Comrade Brewing Company,American IPA,6.90%,mountain,39.675659,-104.898488
389,Serenata Notturna,230,4.23,Crooked Stave Artisan Beer Project,American Wild Ale,12.00%,mountain,39.7392,-104.9903
390,Yeti,"5,661",4.21,Great Divide Brewing Company,American Imperial Stout,9.50%,mountain,39.7392,-104.9903
391,Coconut Porter,43,4.31,Broken Compass Brewing,American Porter,4.80%,mountain,39.5148497,-106.0534494
392,Casey Family Preserves - Elephant Heart Plum,33,4.34,Casey Brewing & Blending,Belgian Saison,5.50%,mountain,39.5157423,-107.3195065
393,Mountain Standard Double Black IPA,879,4.21,Odell Brewing Company,American Black Ale,8.10%,mountain,40.5894674,-105.0631819
394,Petite Sour With Hibiscus And Cinnamon,221,4.22,Crooked Stave Artisan Beer Project,American Wild Ale,6.00%,mountain,39.7392,-104.9903
395,Nightmare On Brett - Leopold Brothers Maryland Rye Whiskey,33,4.33,Crooked Stave Artisan Beer Project,American Brett,9.67%,mountain,39.7392,-104.9903
396,Le Serpent Cerise,33,4.33,Snake River Brewing Company & Brewpub,Flanders Oud Bruin,8.00%,mountain,43.47681499999999,-110.7654323
397,Medianoche - Rye Barrel-Aged - Vanilla,13,4.53,WeldWerks Brewing Co.,American Imperial Stout,13.90%,mountain,40.428113,-104.6905134
398,Anniversary Ale - Twenty Five,71,4.26,Avery Brewing Company,Belgian Strong Dark Ale,14.50%,mountain,40.0625629,-105.2047427
399,Old Ruffian,"2,496",4.2,Great Divide Brewing Company,American Barleywine,10.20%,mountain,39.7392,-104.9903
400,King Julius,998,4.73,Tree House Brewing Company,New England IPA,8.30%,new-england,42.13659120000001,-72.0123365
401,King JJJuliusss,409,4.73,Tree House Brewing Company,New England IPA,8.40%,new-england,42.13659120000001,-72.0123365
402,Very Hazy,833,4.72,Tree House Brewing Company,New England IPA,8.60%,new-england,42.13659120000001,-72.0123365
403,Heady Topper,"14,530",4.71,The Alchemist,New England IPA,8.00%,new-england,44.4654,-72.6874
404,Very Green,"1,215",4.68,Tree House Brewing Company,New England IPA,8.60%,new-england,42.13659120000001,-72.0123365
405,Juice Machine,862,4.68,Tree House Brewing Company,New England IPA,8.20%,new-england,42.13659120000001,-72.0123365
406,Julius,"4,619",4.65,Tree House Brewing Company,New England IPA,6.80%,new-england,42.13659120000001,-72.0123365
407,Double Sunshine,"2,404",4.64,Lawson's Finest Liquids,American Imperial IPA,8.00%,new-england,44.187807,-72.8351806
408,JJJuliusss,544,4.65,Tree House Brewing Company,New England IPA,6.80%,new-england,42.13659120000001,-72.0123365
409,Doubleganger,921,4.64,Tree House Brewing Company,New England IPA,8.20%,new-england,42.13659120000001,-72.0123365
410,Abner,"2,770",4.63,Hill Farmstead Brewery,New England IPA,8.20%,new-england,44.6066677,-72.26340929999999
411,Dinner,"2,427",4.63,Maine Beer Company,New England IPA,8.20%,new-england,43.839144,-70.12140699999999
412,Clover,164,4.67,Hill Farmstead Brewery,Belgian Saison,Saison,new-england,44.6066677,-72.26340929999999
413,Double Citra,"1,974",4.61,Hill Farmstead Brewery,New England IPA,8.00%,new-england,44.6066677,-72.26340929999999
414,Headroom,685,4.61,Trillium Brewing Company,New England IPA,8.00%,new-england,42.35217220000001,-71.04736729999999
415,Aaron,620,4.61,Hill Farmstead Brewery,British Barleywine,eywine,new-england,44.6066677,-72.26340929999999
416,Flora Plum,313,4.62,Hill Farmstead Brewery,Belgian Saison,Saison,new-england,44.6066677,-72.26340929999999
417,Double Galaxy,"1,552",4.6,Hill Farmstead Brewery,New England IPA,8.00%,new-england,44.6066677,-72.26340929999999
418,Ann,408,4.61,Hill Farmstead Brewery,Belgian Saison,6.50%,new-england,44.6066677,-72.26340929999999
419,Double Dry Hopped Congress Street,"1,522",4.59,Trillium Brewing Company,New England IPA,7.20%,new-england,42.35217220000001,-71.04736729999999
420,Triple Shot,461,4.6,Tree House Brewing Company,American Imperial Stout,9.00%,new-england,42.13659120000001,-72.0123365
421,Triple Sunshine,900,4.59,Lawson's Finest Liquids,American Imperial IPA,10.30%,new-england,44.187807,-72.8351806
422,Green,"3,122",4.58,Tree House Brewing Company,New England IPA,7.60%,new-england,42.13659120000001,-72.0123365
423,Doppelganger,"1,880",4.58,Tree House Brewing Company,New England IPA,8.20%,new-england,42.13659120000001,-72.0123365
424,Double Dry Hopped Fort Point Pale Ale,"1,664",4.58,Trillium Brewing Company,American Pale Ale (APA),6.60%,new-england,42.35217220000001,-71.04736729999999
425,Swish,"1,563",4.58,Bissell Brothers Brewing Co.,New England IPA,8.00%,new-england,43.6514239,-70.290559
426,Society & Solitude #4,"1,330",4.58,Hill Farmstead Brewery,New England IPA,8.00%,new-england,44.6066677,-72.26340929999999
427,Gggreennn!,177,4.61,Tree House Brewing Company,New England IPA,7.50%,new-england,42.13659120000001,-72.0123365
428,Focal Banger,"3,950",4.57,The Alchemist,New England IPA,7.00%,new-england,44.4654,-72.6874
